,AUS,AUT,BEL,BGR,BRA,CAN,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,MLT,NLD,NOR,POL,PRT,ROU,RUS,SVK,SVN,SWE,TUR,TWN,USA,ROW
DEU,3257.731939985794,31970.890126883183,22987.43009796546,882.6310053082586,5899.2948239789175,5134.6596270999435,24591.895873953123,15450.929142813204,319.3803858168866,16178.636694574514,2028160.8647226426,10355.775963236147,24899.442222892292,549.3849518268433,6210.8044208628025,58884.35012881879,36007.6023187139,2604.429435451375,1518.427737244115,12495.588498179086,1260.434364620881,6864.880880705156,5014.407151584368,35894.69443684083,10070.274364529858,6001.498778556858,678.0058743032116,3173.842338997456,396.24921503128115,6502.622008856389,314.0414008725508,24462.997298912578,3928.049756280539,17151.541683051746,4601.758592624683,2706.7975236467237,10969.989177181005,4674.628205580725,1890.3344914508245,13412.583559441557,8734.59460305591,4259.129392757365,42608.826262021634,80509.36106043089
DNK,357.50375695047614,309.1547471131749,767.0688636891482,52.78357396387911,199.08048294483498,807.5337682380618,524.1754469539558,749.9043654582005,22.16722337526245,279.92183970197505,6052.684670652195,146476.73954558952,1644.3938838714182,100.52928716243252,1720.7432738696702,2618.6148477280267,4080.3183176225416,249.7770580990891,53.15221642583171,297.2398496959311,100.67451550989499,1212.4824348692005,626.4442472106514,1163.374908709339,1564.870915824546,303.9014588472083,155.6001617177436,82.39709478287946,122.26970941564592,160.9951232045534,7.660095776204148,1862.8036813813824,2924.2381166123687,783.3766062432753,305.1049031796543,65.90732354310882,484.70391681518055,72.76385590461175,47.95036110585599,8578.997596034365,604.1164660637517,152.16609186766644,2793.702267410377,16853.243507279938
ESP,451.6025577838889,942.7739348230931,3111.6016999936505,171.21395339116404,1398.1031751648088,1540.6163928551832,2338.29845725059,1089.606693252014,61.38271831411168,778.9450055479758,13327.764781567479,2079.0284576795807,1010014.5699311947,51.71604712520017,534.5515286872613,20511.637498571698,14102.935721265154,795.1528002897549,93.23796717347027,693.9541804759735,163.36748155338702,811.7992201181145,1629.9921895972548,9310.01338301642,780.1497755611041,514.9847965076758,54.12777503209304,1528.671880377435,31.220464263240714,2060.969931663413,98.45825916228632,4078.11582322121,637.4091024520467,1046.388179435219,9027.740656452266,384.3437873783031,828.8921004993994,284.7062467796133,262.58913860655025,1945.129214875583,1984.7215576587605,405.17631786535054,6719.434803464755,29332.24501924814
EST,11.932399666639386,40.007754824622815,49.02436376643887,1.684950691421259,7.2315545652394615,15.002202191718201,91.9252341890511,40.91460650775292,34.79289541150914,19.803776145431115,345.2748318945201,231.9814176788783,34.06522223406221,10542.600418048749,933.2447486665335,78.44033462979385,246.17364505864998,10.791485564090724,3.516295084325881,35.80460502725931,0.9179324400243625,7.165479599808584,28.524210740745634,56.8314464002839,19.812940916694895,10.328306962324273,118.62058771172292,17.607505620843156,302.32682741549,3.0876445084796202,0.9297106228464909,105.7340572151223,180.74140250167076,62.10863330554479,8.758137153953918,2.844550814319932,284.8886219853599,6.256378337695527,2.6777459064591786,550.9057504781479,12.035397549044607,6.387910438410143,138.72143672464824,797.0016621222694
FIN,352.66955747310146,587.089943053023,1082.116219214399,26.070833966937556,205.5616626185876,530.1238949328363,640.7458022428254,1384.487477749717,18.69538096663431,219.06928838394074,5452.959390111125,1399.2538425134535,1097.8975310079961,784.6152092461925,151343.16618608774,1888.957348069984,3043.254608734298,252.70589376193004,32.26694888374907,431.81159027211646,188.8018558570157,435.62556907482434,428.9329589815077,1392.2570666769084,991.2039578775704,507.6514666896886,147.13209627312418,65.04121676215962,184.63403297611538,182.40689329553393,21.40175765354179,1936.4170640230388,1233.7812421279082,901.9458607810228,162.82790153997206,54.75267088616008,2370.357070642723,56.226609898835314,46.53471688784535,5855.210421273993,475.3792316094174,201.1297302458148,3799.99479458676,6952.866482164501
FRA,1404.3984170320807,2591.9108028223104,16153.766382451786,305.34853442124916,2785.248789668614,2523.4319280395916,6899.756618889549,6660.980853226737,88.24737462763719,2194.958965933049,39708.230757403944,2149.753320609581,30732.991577437722,88.06641929402802,1613.8253152795232,1490893.0418787315,23431.693646905675,1393.0904960426913,263.9304265044498,2427.103053226008,432.1637279410411,3127.9301780771766,3393.9141755814085,25181.747948324602,4325.922906305787,2277.6010569745813,134.24578654107907,1649.56485211601,71.79519506090527,2051.137475015978,362.9692142472172,8287.987669278433,1345.1622964421208,3496.7970913551444,3021.1931933166557,1280.1818172880592,2017.6687666316673,637.9944889004795,1064.776334195317,4045.5041023376098,4179.543006097909,1688.5820041278741,22409.052531808342,52949.20478648848
GBR,3521.3434969696705,1999.6804772315977,9748.806245752585,239.21097954379476,1373.8175565293102,11640.651999971902,5842.708887214469,3493.868712263583,327.8484631320286,1534.723127315449,34770.99718821567,4349.585719233672,16453.283001463573,128.2214631837588,2785.795333809613,25882.42775889328,1553045.4646332974,1423.01513581563,335.5966754334474,1821.652322499857,548.5755181653843,4991.204298967372,19528.400638585194,14769.122335766562,5945.509963733244,3956.4334847850673,162.51980830723886,8125.661854697671,129.158615273918,1229.6511498562431,375.63751226093234,14790.186065210139,5737.382662388137,2280.6654718197788,2004.7944370098187,717.4149762876723,1886.862906560818,367.14058203626246,212.8209639571874,7035.45624800208,2876.886811964453,1286.410072366272,40909.10236133586,87910.54480355205
GRC,50.423046451744696,124.98390091241367,218.78367082054055,490.42037124347814,23.202264735876984,143.1113767092377,188.78223340817527,96.32035935779014,397.93144896002565,79.49192473280183,1456.9929714672146,287.40107529555416,442.2465543681199,6.541394689177838,43.25603572574362,418.28692807296284,1473.68882747556,138161.7555552981,50.51116366439164,31.596779802041645,31.25556347992364,135.34010187207267,82.15323779058888,867.208250407882,388.6906989189693,101.86497078697735,7.088665291695327,23.822305846673927,8.858442117150108,20.308075010649432,10.642927482458436,259.7162147159934,46.87387421387665,76.09314190120278,55.137633402931215,514.759170740207,98.037666562953,13.405788912762967,49.22816991565986,160.8458409539516,877.987175681166,30.007177995186026,751.2215998079081,13829.845488141016
HRV,5.146474874594246,781.6458132434993,81.57313181801202,92.4723870759466,2.0131702958017774,17.582918342053112,122.12186625272079,50.321082117893184,22.323388118058414,72.54110999507809,682.5049163521426,82.59407353395656,105.95252055310199,2.4998946212943904,12.642325348392907,221.61997074746768,342.1928962428817,42.708626165168496,28154.753926576013,201.17144852952487,1.395753419834738,21.594834373798335,53.834350615737705,1188.2421614667678,6.396834234578544,3.704577119743537,9.801267960904005,15.617691014426864,5.954961991317901,4.159694509925635,18.27963845607577,78.02312504491512,127.40340125067789,68.67694440727057,22.457734369245347,40.41447547289095,39.516153439922526,44.40346218723178,699.0883739665575,153.7868692769906,87.30010736672641,3.768056661416082,306.11800270835136,3637.977732584072
HUN,79.68449907894846,2693.182437069381,715.7509437429203,137.20569499149875,97.97240078657882,120.2301619755001,346.2190600781487,229.74551132983106,37.20683188168545,1251.4554567854234,11390.415497508475,245.4092752291012,1184.6266048240827,33.73602706061372,426.2901644253632,1805.3710975802862,1259.1299944510192,180.48661057994002,519.3174598457101,75844.69558797221,13.537406752082287,45.688940346531815,125.59986292844319,1810.843142493852,283.41896549904146,115.66776450803025,51.62553802911309,20.730173085024507,30.228024847700276,136.26147606553792,3.7557129763873345,626.0985157360476,99.98007008993636,1058.9713742939014,154.31230218026874,1518.7803384358901,368.8837971572569,969.6550976058836,292.01317500921874,410.4476954859166,594.2281626845951,37.97706367599921,1330.9550255697366,2906.6533183309066
